Solution, Clauses Satisfied,Function Evaluations,Time (seconds)
"[False, False, False, False, True, True, False, False, True, True, True, True, True, True, False, True, True, True, False, True, True, True, False, False, True, False, False, True, True, True, False, True, False, True, True, True, False, False, False, False, False, True, False, False, True, True, True, True, False, False, True, True, True, False, False, True, True, False, True, False, False, False, False, False, False, True, True, False, True, True, False, False, True, False, True, True, False, False, True, False, False, True, True, False, True, False, True, True, True, True, False, False, False, False, False, False, True, True, False, True, True, False, True, True, True, False, True, False, False, True, False, True, True, False, True, True, True, True, False, True, False, False, False, False, False, True, False, False, False, True, False, False, True, True, False, False, True, False, True, False, False, False, False, True, False, False, False, False, False, False, True, False, True, True, True, True, True, True, False, True, False, True, True, True, True, False, False, True, True, False, True, True, True, False, True, False, False, False, False, True, True, True, True, False, True, True, False, True, True, False, False, True, False, True, True, False, False, False, False, True, False, True, False, True, True, True, True, False, True, False, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, False, False, False, False, True, False, False, True, True, False, True, True, False, True, False, False, False, True, True, False, False, False, False, False]",1037,1679,0.22776079177856445
"[True, False, False, False, True, True, False, False, True, True, False, False, False, True, True, True, True, False, False, True, True, False, False, False, False, False, False, False, True, True, True, True, False, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, False, False, True, False, True, False, True, False, False, False, False, True, False, False, False, True, True, True, True, True, False, False, False, False, True, True, True, False, False, True, False, True, True, True, True, False, True, True, False, True, False, False, False, True, True, True, False, True, True, True, False, False, True, False, False, True, False, True, False, False, True, True, True, False, True, True, False, False, False, False, False, False, True, False, False, True, False, False, True, True, False, True, False, False, True, False, False, True, False, False, False, False, False, True, False, False, False, True, False, False, True, False, True, True, True, True, False, True, True, False, True, True, True, False, True, False, False, True, False, False, True, False, False, False, False, True, True, True, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True, False, False, True, False, True, False, False, True, True, True, False, True, False, False, False, False, True, True, True, True, False, False, False, True, True, False, True, True, False, False, True, True, True, True, False, False, True, False, True, True, False, True, True, True, False, False, False, False, False, False, False, False, False]",1040,1313,0.17354297637939453
"[True, False, False, False, False, False, True, False, False, True, True, True, False, False, False, False, True, False, True, True, True, False, True, False, True, False, False, True, True, False, False, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, False, True, False, True, False, False, True, True, False, True, True, True, False, False, False, False, False, False, True, False, False, False, True, True, False, False, True, False, False, True, False, True, False, False, False, False, True, True, True, True, True, True, False, False, False, False, False, True, True, True, False, False, True, True, True, True, False, True, False, False, False, False, True, False, False, False, False, True, False, True, True, False, True, False, True, True, True, True, False, False, True, True, False, True, True, True, False, True, True, True, False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, True, True, True, False, False, True, False, True, False, False, True, False, True, False, True, True, True, True, True, False, False, True, False, False, False, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, False, False, False, True, True, False, False, False, True, True, False, True, True, False, True, False, True, False, True, False, False, False, False, False, False, False, True, True, False, False, False, True, False, False, True, True, True, True, True, True, False, True, True, False, False, True, True, False]",1043,1557,0.2140192985534668
"[False, False, True, True, False, True, True, True, False, True, True, True, False, True, True, False, True, False, True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, False, False, False, False, True, True, False, True, True, True, False, True, False, True, True, False, True, True, True, False, False, True, False, False, True, True, False, False, False, True, True, False, False, False, False, False, False, False, True, True, True, True, False, True, False, True, False, True, True, True, False, False, False, True, False, False, False, True, True, False, True, False, True, True, True, True, True, True, False, False, True, False, False, False, True, True, False, False, False, True, False, True, True, True, False, False, False, True, False, False, True, True, True, True, True, False, True, False, True, False, False, False, True, True, True, True, False, False, False, False, True, True, True, True, True, False, False, False, True, True, True, False, False, False, True, True, True, False, False, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, False, True, True, False, True, True, True, True, True, False, True, True, True, False, True, False, True, True, True, True, False, True, False, True, True, True, True, True, False, False, True, False, True, True, False, True, True, False, False, True, False, False, False, True, False, True, False, True, False, False, True, False, False, False, True, True]",1046,1312,0.17392683029174805
"[True, False, True, False, True, True, True, False, True, True, True, False, False, False, True, False, True, True, True, True, True, False, False, False, True, False, False, True, False, True, False, True, False, False, False, True, True, False, False, False, True, True, False, False, False, True, False, True, False, True, True, False, True, False, False, False, False, True, False, False, True, False, False, True, False, True, True, True, False, False, True, False, False, True, False, False, True, False, True, False, True, True, True, False, False, True, True, True, True, False, False, False, False, True, False, False, False, True, False, True, True, True, True, False, False, False, False, False, True, False, True, True, False, False, False, False, False, False, True, True, False, True, True, True, False, True, True, True, False, False, False, False, False, False, True, False, True, True, True, True, False, True, False, False, True, True, False, True, False, True, True, False, False, False, False, False, True, True, True, True, False, True, True, True, False, True, False, False, True, False, False, False, True, True, False, False, False, True, True, True, True, False, False, False, True, False, False, False, False, True, True, True, True, True, False, True, False, False, True, False, False, True, False, False, True, False, True, True, False, False, True, False, False, True, False, True, True, True, True, True, False, False, False, False, False, False, False, True, False, True, True, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, True, False, False]",1038,1313,0.18052220344543457
"[False, False, True, True, True, False, False, True, True, True, True, False, False, True, True, True, True, False, False, False, True, False, True, True, False, True, True, True, False, False, False, True, False, True, False, True, True, False, True, True, False, False, False, False, False, True, True, False, False, True, False, False, True, False, True, True, True, False, False, False, False, False, False, False, False, True, True, True, False, False, True, False, False, True, False, True, False, False, False, True, False, True, True, False, True, True, True, True, True, True, True, True, True, False, False, False, False, True, False, False, False, False, True, False, True, False, False, False, False, False, False, True, True, False, True, False, True, False, False, True, True, False, True, False, False, True, False, False, False, True, False, False, False, False, False, True, True, False, False, True, True, False, True, False, False, False, False, False, False, False, True, True, True, True, True, False, True, False, True, False, False, True, True, True, True, False, False, True, True, True, False, True, False, True, True, False, False, True, True, True, True, False, False, False, False, True, True, False, False, True, True, True, False, False, False, False, True, True, False, True, True, True, True, False, False, False, True, True, False, False, True, False, True, True, False, True, True, True, True, False, False, True, False, False, True, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, False, False, True, False]",1050,1425,0.1943657398223877
"[False, False, False, False, True, False, True, False, True, False, True, False, False, False, True, True, True, False, False, False, True, False, False, False, True, True, True, True, False, True, False, True, False, False, True, True, True, True, False, True, True, False, False, False, True, True, True, False, False, False, False, False, True, True, True, False, True, False, False, True, False, False, False, True, True, True, True, True, False, True, False, True, False, True, False, False, True, False, True, False, False, True, True, False, False, True, True, True, True, False, False, False, False, False, False, False, False, True, False, True, True, True, True, False, False, True, True, True, False, True, True, False, False, False, False, True, True, False, True, True, False, True, True, True, False, True, True, False, True, False, True, False, True, False, False, False, False, True, False, True, False, False, False, True, True, True, False, False, False, True, True, True, False, True, True, False, True, False, False, True, True, True, False, False, True, True, False, True, True, False, False, False, False, True, True, True, False, False, False, True, False, True, True, True, False, True, True, False, True, True, True, True, False, False, False, False, True, True, False, True, True, True, False, False, True, False, True, False, True, False, True, False, False, True, False, True, True, True, True, True, False, True, True, False, False, False, True, False, True, False, True, True, False, False, True, False, True, True, False, True, True, True, False, False, False, False, False, True, False, False]",1044,1467,0.19635868072509766
"[True, True, True, True, False, False, False, True, True, True, True, True, False, False, True, False, False, False, True, True, True, False, False, False, False, True, False, True, True, False, True, False, True, True, True, False, True, False, True, True, False, False, True, False, True, True, True, False, False, True, True, False, True, True, True, True, True, False, False, False, True, False, True, True, False, False, False, True, True, False, True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True, False, True, False, False, True, True, False, True, False, False, False, False, True, True, True, True, False, True, False, False, False, True, False, True, False, False, True, False, True, True, True, True, False, True, False, True, False, True, True, True, True, False, False, True, True, True, True, True, True, True, True, False, True, False, False, False, False, True, True, False, False, True, False, False, False, True, True, False, False, True, True, False, True, True, True, True, True, False, False, True, False, False, True, False, False, True, False, False, False, True, False, False, True, True, False, True, False, True, False, True, True, False, True, True, False, True, True, True, True, True, True, False, True, False, True, False, False, False, True, True, True, False, False, False, False, False, False, True, False, True, True, False, False, True, True, True, True, False, False, True, True, False, True, True, True, False, True, True, False, True, True, True, False, True, True, True, False, False, True, False, False, False, True, False]",1041,1200,0.16745567321777344
"[True, False, False, True, True, True, False, False, True, True, True, False, True, False, True, False, True, True, False, False, True, False, False, False, False, True, True, True, False, False, False, True, False, False, True, True, True, False, True, True, True, False, False, False, False, True, True, False, True, False, False, False, False, False, False, True, False, False, True, False, True, True, False, True, False, False, True, True, True, False, True, False, True, True, True, False, True, False, False, False, False, False, True, True, False, False, False, True, True, True, False, True, False, True, False, True, False, True, False, False, True, False, True, False, True, True, True, False, False, True, True, False, True, True, False, False, False, False, False, True, False, False, True, True, True, True, True, True, False, False, False, False, True, True, True, True, True, False, True, True, True, False, False, False, False, True, True, False, False, True, True, True, False, True, True, False, False, False, True, True, False, True, True, True, True, False, False, True, True, False, False, True, True, True, False, True, False, False, False, True, False, True, True, False, False, True, True, False, False, False, True, True, True, False, False, False, True, False, False, True, False, True, False, True, True, False, False, False, False, True, True, True, False, True, True, True, False, False, True, True, True, False, False, False, False, False, False, True, False, False, True, False, True, False, False, False, False, False, True, True, False, True, True, True, False, False, False, False, False, False]",1038,1305,0.17415761947631836
"[False, False, False, False, True, True, True, True, True, False, True, True, False, True, False, False, True, False, False, False, True, False, False, False, True, True, False, True, False, False, False, True, False, False, True, True, False, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, False, False, True, False, True, True, True, False, True, False, False, False, False, False, True, True, False, True, False, False, True, True, True, True, True, False, False, True, True, True, False, True, True, True, True, True, False, False, True, True, True, True, True, True, True, False, True, False, False, False, False, False, True, False, False, False, True, False, False, True, False, True, False, True, True, False, True, False, True, True, True, False, False, True, True, True, False, True, True, False, True, True, False, True, True, False, False, True, True, False, False, False, True, True, False, False, False, False, True, True, False, False, True, False, True, True, False, True, False, True, False, True, False, False, False, False, True, True, True, False, True, True, True, True, True, False, True, True, False, True, False, True, False, False, True, False, False, True, True, True, False, True, True, True, True, False, True, False, False, True, False, False, True, True, True, False, False, True, True, True, True, True, True, True, False, True, True, True, False, False, True, False, True, False, False, False, True, False, False, False, False, True, False, False, True, True, True, False, False, False, False, True, False]",1039,1897,0.2511775493621826
"[True, False, True, True, True, False, True, False, True, False, True, False, False, True, False, True, True, False, True, False, False, True, False, False, False, True, True, True, False, False, False, True, True, True, True, True, False, False, True, True, True, True, True, False, False, True, True, True, True, False, True, True, False, True, True, True, True, False, False, True, True, False, False, True, True, False, False, True, True, False, True, False, False, True, True, False, False, False, False, True, False, True, False, False, False, True, False, True, False, False, True, False, True, True, False, True, False, False, False, True, True, True, True, True, True, True, False, False, False, True, False, False, False, False, False, False, True, True, False, True, True, True, False, True, False, True, True, False, False, True, False, False, True, True, False, True, True, True, True, False, True, False, False, False, True, True, False, False, False, True, False, False, False, False, True, True, True, False, False, True, True, True, True, True, True, False, False, True, True, False, False, True, True, False, True, True, False, False, True, True, False, True, True, False, False, True, True, True, True, True, True, True, False, True, False, True, True, True, False, False, True, True, True, False, True, True, True, False, False, False, False, True, False, True, True, False, False, False, True, True, False, True, True, True, True, False, False, False, False, False, False, False, True, True, True, False, True, True, True, True, False, False, False, True, False, False, False, False, True, False]",1042,1161,0.15549516677856445
