Solution,Clauses Satisfied,Function Evaluations,Time (seconds)
"[True, False, True, False, False, False, True, False, True, False, True, True, False, False, False, True, False, True, True, True]",89,51,0.0009648799896240234
"[True, False, True, True, False, True, False, False, False, True, True, False, True, True, False, False, True, False, False, True]",89,59,0.0009980201721191406
"[True, True, False, True, False, False, True, True, False, True, False, True, False, True, False, False, True, False, False, False]",89,64,0.0009758472442626953
"[False, False, True, False, False, True, False, False, True, True, False, True, True, False, False, False, True, False, True, False]",88,40,0.0
"[True, False, True, False, False, True, False, False, True, False, True, True, False, True, False, False, True, True, False, True]",89,42,0.0
"[True, False, False, False, False, True, True, False, True, False, False, True, False, False, False, True, True, False, True, True]",88,63,0.0009965896606445312
"[False, True, True, False, False, True, False, False, False, True, True, False, False, True, False, False, True, True, True, True]",89,43,0.0009970664978027344
"[True, False, True, True, True, True, False, False, False, False, True, True, False, True, False, False, False, False, False, True]",89,57,0.0
"[True, False, False, True, False, True, False, False, False, False, False, False, True, True, True, False, True, False, False, True]",91,59,0.0
"[True, False, True, True, False, False, True, True, False, True, False, True, True, False, True, False, True, False, False, True]",89,69,0.0009963512420654297
"[True, False, False, True, False, False, False, True, False, True, False, False, True, True, True, False, True, False, False, True]",91,66,0.0009965896606445312
"[True, False, True, True, False, False, False, True, True, True, True, False, True, False, False, False, True, False, False, True]",90,39,0.0009965896606445312
"[True, False, True, True, False, False, True, True, False, True, False, True, False, True, False, False, False, False, False, False]",89,43,0.0
"[True, False, True, False, False, False, False, False, True, True, True, False, True, False, False, False, True, False, False, True]",89,41,0.0009968280792236328
"[True, True, False, True, False, False, False, False, False, False, True, True, False, True, False, False, False, True, False, True]",87,50,0.0009965896606445312
"[True, False, True, True, True, False, True, False, True, True, False, True, False, False, True, False, True, False, False, True]",87,47,0.0
"[True, True, False, False, False, False, True, True, False, True, True, True, False, True, False, False, False, True, True, True]",89,43,0.0009965896606445312
"[True, True, False, True, False, True, False, True, False, False, False, True, False, True, False, False, False, False, False, True]",88,58,0.0009965896606445312
"[True, False, False, False, False, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True]",91,65,0.0009968280792236328
"[True, False, False, False, False, True, False, False, True, False, False, False, True, True, True, False, True, False, False, True]",91,59,0.0
"[True, False, True, False, False, False, True, True, True, True, True, False, True, False, False, True, False, False, False, True]",87,33,0.0
"[True, False, False, False, True, False, True, False, True, True, False, False, False, False, True, False, False, True, True, True]",86,34,0.0
"[True, True, False, True, False, False, True, True, True, True, False, True, False, True, True, False, True, False, True, True]",88,54,0.0
"[True, False, True, True, False, True, False, False, True, False, True, True, False, True, False, False, True, True, False, True]",89,30,0.0009968280792236328
"[True, False, True, True, False, False, True, True, False, True, True, True, True, True, False, False, True, False, False, True]",89,42,0.0
"[True, False, False, True, False, True, True, False, False, True, False, True, True, True, False, False, True, False, False, True]",88,43,0.0009965896606445312
"[True, True, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True, True, False, True]",89,70,0.0009965896606445312
"[True, False, True, False, False, False, True, True, True, True, True, True, True, False, False, True, True, False, False, True]",89,41,0.0009970664978027344
"[True, True, True, True, False, False, False, True, False, True, True, True, False, True, False, False, True, True, False, True]",90,32,0.0
"[True, True, True, True, False, False, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",90,55,0.0009968280792236328
