Solution, Clauses Satisfied, Function Evaluations, Time (seconds)
"[False, False, False, False, False, True, True, True, False, True, False, False, False, False, True, False, False, True, False, True, True, True, False, False, False, True, True, True, True, True, True, False, True, False, False, True, True, False, True, False, False, True, False, True, True, False, False, False, False, True, True, True, False, False, True, False, False, True, False, True, False, True, False, False, False, True, True, False, True, False, False, False, False, False, True, True, True, False, True, False, False, True, False, True, False, True, False, True, False, False, False, False, True, False, False, False, False, False, False, True]",418,385,0.019956111907958984
"[False, False, False, True, True, False, False, True, True, False, False, False, True, True, True, True, False, False, True, False, True, True, True, False, True, True, False, True, True, True, False, False, True, False, True, True, False, False, False, False, True, True, False, True, False, False, False, False, True, True, False, True, False, True, False, True, False, False, True, True, False, True, False, True, True, True, False, True, False, False, True, False, True, True, False, True, False, False, True, True, False, False, True, False, False, False, False, True, False, False, True, True, False, False, True, True, False, True, True, False]",419,490,0.025914907455444336
"[False, False, False, True, True, True, True, True, True, True, False, False, False, True, True, False, False, True, False, True, False, True, False, True, False, False, False, False, True, False, False, True, True, False, True, True, False, False, True, True, False, False, True, True, True, True, False, False, True, True, True, True, True, False, True, True, False, True, False, True, True, False, False, False, True, False, True, True, True, False, False, False, False, True, True, False, False, False, True, False, True, False, False, True, False, True, True, True, False, False, True, False, True, False, True, True, True, False, True, True]",420,453,0.02492237091064453
"[True, False, False, True, True, True, False, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, False, True, True, True, False, False, True, False, True, True, False, False, True, True, False, False, True, False, False, True, False, False, False, False, False, False, True, True, True, True, False, True, False, True, True, True, True, True, False, False, False, True, True, False, False, False, True, True, False, False, False, False, True, False, True, False, False, False, False, True, False, True, True, False, True, False, False, False, False, True, False, True, True, True, True, False, False, True]",420,348,0.018344879150390625
"[True, True, False, True, False, True, True, True, True, True, False, True, False, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, True, True, False, True, False, False, False, False, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True, False, False, True, True, False, True, True, False, False, True, False, False, True, True, False, False, True, True, False, False, True, False, True, True, False, True, True, False, True, True, True, False, True, False, True, True, True, True, True, True, True, False, True, True, True, False, False, False]",417,282,0.015946626663208008
"[True, True, False, True, True, True, False, False, True, False, True, False, False, False, True, True, False, False, True, False, True, True, False, True, True, True, False, True, True, True, True, True, False, True, True, False, True, False, False, False, False, False, False, True, False, True, True, True, True, True, True, False, False, False, False, True, False, True, True, True, False, True, True, True, False, True, False, True, True, True, True, True, False, False, True, False, False, False, True, False, True, True, False, True, True, True, True, True, True, False, True, True, False, False, True, False, True, True, True, True]",419,396,0.020929813385009766
"[True, True, True, True, True, True, True, True, False, False, False, False, True, False, False, True, False, False, True, True, True, False, True, True, True, True, True, False, False, True, False, True, True, True, True, True, False, False, True, False, False, True, True, True, False, False, False, False, True, True, False, False, True, False, True, False, False, True, True, True, False, False, True, False, True, False, False, True, True, False, True, True, True, True, True, True, True, False, True, True, False, True, False, True, True, False, False, False, False, False, False, False, False, False, True, True, True, True, False, True]",421,356,0.018938302993774414
"[True, True, False, True, True, False, True, True, False, False, True, False, True, False, True, True, False, True, False, True, False, True, True, True, False, True, True, False, True, True, False, True, True, False, False, True, True, False, False, True, False, True, True, False, False, False, False, False, True, False, True, True, True, True, False, True, False, True, False, True, False, False, False, True, False, False, False, False, True, False, False, True, False, True, False, True, False, False, False, True, False, False, False, True, False, True, True, True, True, True, False, False, False, False, True, True, True, False, False, True]",419,408,0.022007226943969727
"[True, True, True, False, False, False, True, False, True, True, False, True, True, False, True, True, False, False, False, True, True, True, False, False, False, False, False, True, True, False, True, True, True, False, True, True, True, True, False, True, False, True, True, True, True, False, True, False, True, True, True, True, False, False, True, True, False, True, False, True, False, True, False, False, False, True, True, False, True, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, True, False, False, True, True, False, False, False, True, False, True, False, False, True, False, True]",416,410,0.0219266414642334
"[True, False, False, True, True, True, True, True, True, True, True, False, True, True, True, True, False, False, True, True, True, True, False, False, False, False, False, True, True, False, False, True, True, False, False, False, False, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, False, False, True, False, True, False, True, True, True, False, True, True, True, False, False, True, False, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, False, False, True, False, False, False, True, False, True, True, True, True]",415,393,0.020930051803588867
