Solution, Clauses Satisfied, Function Evaluations, Time (seconds)
"[True, False, False, False, True, False, True, False, True, False, True, False, True, True, True, False, False, False, False, True, True, False, False, True, True, False, False, True, True, False, False, True, True, False, True, True, False, False, True, True, False, True, True, True, True, True, True, False, True, True, True, True, False, False, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, False, True, False, True, True, True, True, False, False, True, True, True, False, True, False, False, False, False, True, False, False, True, False, True, True, False, True]",428,10000227,541.5773189067841
"[False, False, False, True, True, False, True, True, True, True, True, False, False, True, True, True, False, True, False, True, False, True, True, False, False, True, False, False, True, True, False, False, True, False, True, True, False, False, True, True, True, False, True, True, True, True, False, False, True, True, True, False, False, False, True, True, True, True, True, True, False, True, False, False, True, True, True, True, True, False, True, False, False, True, True, False, True, False, True, False, True, False, True, False, True, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False]",428,10000395,538.9566824436188
"[True, False, False, False, True, False, True, False, True, True, True, False, True, True, True, True, False, False, False, True, True, False, False, True, True, False, False, False, True, False, False, True, True, False, True, True, False, True, True, True, False, False, True, True, True, True, True, False, True, True, True, True, True, False, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, False, False, True, False, True, False, True, True, False, False, True, True, True, False, True, False, False, False, False, False, False, False, True, True, True, True, False, True]",429,10000158,542.4795167446136
"[False, False, False, True, True, False, False, True, True, True, True, False, False, True, False, True, False, True, False, True, False, True, True, False, True, True, False, False, True, True, False, False, True, False, True, True, False, False, True, True, True, False, True, False, True, True, False, False, True, True, True, False, True, False, True, True, True, True, True, True, False, False, False, True, True, False, True, True, True, False, True, True, False, True, True, False, True, False, True, False, True, False, True, True, False, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False]",429,10000238,541.268807888031
"[False, False, False, True, True, False, True, True, True, True, True, False, False, True, False, True, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, True, False, False, False, True, False, True, True, True, True, False, True, True, True, True, False, False, True, True, True, False, True, False, True, True, False, True, True, True, False, True, True, False, True, True, True, True, True, False, True, False, False, True, True, False, True, False, True, True, False, False, True, False, False, False, True, False, False, False, False, False, False, False, True, True, True, False, False, True]",429,10000013,539.5467486381531
"[False, False, False, True, True, False, True, True, True, False, True, False, True, True, True, False, False, False, False, True, True, False, False, False, True, False, False, True, True, False, False, False, True, False, True, True, False, True, True, True, False, False, True, True, True, True, False, False, True, True, True, True, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, False, False, False, True, True, False, False, True, True, False, False, True, True, False, False, False, True, False, False, True, True, True, True, True, True]",428,10000312,539.9406251907349
"[False, False, False, True, True, False, False, True, True, False, True, False, False, True, True, True, False, True, False, False, False, False, True, True, True, True, True, False, True, True, False, False, True, False, True, True, True, False, False, False, False, True, True, False, False, False, False, False, True, True, True, False, False, True, True, False, True, True, True, True, False, False, False, True, False, False, False, True, True, True, True, True, False, True, False, False, True, False, False, True, True, False, False, True, False, False, True, True, False, False, False, False, False, False, False, True, True, False, True, False]",428,10000138,538.7937767505646
"[False, False, False, True, True, False, False, True, False, False, True, False, False, True, False, True, False, True, False, False, False, True, True, True, True, True, False, False, True, True, False, True, True, False, False, True, True, False, True, True, False, False, True, False, False, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, True, False, True, False, False, True, True, False, False, True, False, True, True, True, False, False, False, False, False, False, True, True, True, False, True, False]",429,10000333,540.5056159496307
"[False, True, False, True, True, False, True, False, True, True, True, False, False, True, True, False, False, True, False, True, False, True, False, False, False, True, False, False, True, False, False, True, True, False, True, True, False, False, True, True, True, False, True, True, True, True, False, False, True, True, True, True, False, False, True, True, True, True, True, True, False, True, False, False, True, True, True, True, True, False, True, True, False, True, True, False, True, False, True, True, False, False, True, True, True, True, False, True, False, False, False, True, False, False, True, True, True, False, False, True]",428,10000173,541.19410681724550
"[False, False, False, True, True, False, False, True, True, True, True, False, False, True, False, True, False, True, True, True, False, True, True, True, True, True, False, False, True, True, False, True, True, False, False, True, False, False, True, True, True, False, True, False, True, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, True, True, False, False, True, True, False, True, True, False, True, True, False, True, False, True, False, True, False, True, True, False, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False]",429,10000411,539.85468220710751
"[True, False, False, False, True, False, True, False, True, False, True, False, True, True, True, False, False, False, False, True, True, False, False, True, True, False, False, False, True, False, False, True, True, False, True, True, False, True, True, True, False, False, True, True, True, True, False, False, True, True, True, True, True, False, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, False, False, True, False, True, False, True, True, False, False, True, True, False, False, True, False, False, False, False, False, False, False, True, True, True, True, False, True]",429,10000302,540.10382032394412
"[False, False, False, True, True, False, False, True, False, False, True, False, False, True, False, True, False, True, False, True, False, True, True, True, True, True, False, False, True, True, False, True, True, False, True, True, True, True, False, True, False, True, True, False, True, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, False, False, True, False, False, False, True, False, True, True, False, False, True, True, False, False, False, False, False, False, True, True, True, False, False, False]",428,10000064,539.58637237548833
"[False, False, False, True, True, False, False, True, True, False, True, False, False, True, True, True, False, True, False, False, False, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, False, True, True, False, True, True, False, True, False, False, False, True, True, True, False, False, True, True, False, True, True, True, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, False, False, True, False, False, True, True, False, False, True, False, False, True, True, False, False, False, False, False, False, True, True, True, False, True, False]",428,10000110,540.51659560203554
"[False, False, False, True, True, False, False, True, False, False, True, False, False, False, False, True, False, True, True, True, False, True, True, True, True, False, True, False, False, True, False, True, True, False, False, True, False, True, True, True, False, True, True, True, False, False, False, False, True, True, False, False, True, False, True, False, False, True, True, True, False, False, False, False, True, False, False, True, True, False, True, True, False, True, False, True, True, False, False, True, True, False, False, True, False, False, True, True, False, False, False, False, False, False, True, True, True, False, False, True]",428,10000315,539.8658297061925
"[False, False, False, True, True, False, False, True, False, False, True, False, False, False, False, True, False, True, True, False, True, True, True, True, True, True, True, False, True, True, False, True, True, False, False, True, False, False, False, True, False, True, True, True, True, False, False, False, True, True, False, False, True, False, False, False, False, True, True, True, False, False, False, False, True, False, False, True, True, False, True, True, False, True, True, True, True, False, False, True, True, False, False, True, False, True, True, True, False, False, True, False, False, False, True, True, True, False, False, True]",428,10000307,539.70003080368046
"[False, True, False, True, True, False, False, True, True, True, True, False, False, True, False, True, False, True, True, True, False, True, True, False, True, True, False, False, True, True, False, True, True, False, False, True, True, False, True, True, True, False, True, False, True, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, True, False, False, True, True, True, False, True, True, False, True, True, False, True, False, True, True, True, False, False, True, True, True, False, True, False, False, False, False, False, False, False, True, True, False, True, False]",429,10000209,539.59796905517587
"[False, False, False, True, True, False, False, True, False, False, True, False, False, False, False, True, False, True, True, False, False, True, True, True, False, True, True, False, True, True, True, True, True, False, False, True, True, False, False, True, False, False, True, True, True, False, False, False, True, True, False, False, False, False, False, False, True, True, False, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, True, True, False, False, False, False, True, False, False, True, False, True, True, True, False, False, True, False, False, False, False, True, True, False, True, True]",429,10000027,539.09049534797678
"[False, False, False, True, True, False, False, True, False, False, True, False, False, True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, True, False, False, False, True, False, False, True, False, False, True, True, False, True, True, False, True, True, False, False, True, True, True, False, False, False, False, True, True, True, True, True, False, False, False, True, True, False, False, True, True, False, True, False, False, True, True, False, True, False, False, True, True, False, True, True, False, True, True, True, False, False, False, False, False, False, True, True, True, False, False, True]",429,10000084,540.04411673545849
"[True, True, False, True, True, False, False, True, True, True, True, False, False, True, False, True, False, True, False, False, True, True, True, False, True, True, False, False, True, True, False, True, True, False, False, True, True, False, True, True, True, False, True, False, False, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, False, True, True, False, True, True, False, True, False, True, True, True, False, False, True, True, True, False, True, False, False, False, False, False, False, False, True, True, False, True, False]",428,10000125,539.06466174125670
"[False, False, False, True, True, False, False, True, False, False, True, False, False, True, False, True, False, True, False, False, False, True, True, True, True, True, False, False, True, True, True, True, True, False, False, True, True, False, False, True, True, False, True, False, False, True, False, False, True, True, True, False, True, True, False, False, True, True, True, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, False, False, True, False, False, False, True, False, True, True, False, True, True, True, False, False, False, False, False, False, False, True, True, False, True, False]",429,10000165,538.82581496238711
"[True, False, False, False, True, False, True, False, True, False, True, False, True, True, True, True, False, False, False, True, True, False, False, True, True, False, False, False, True, False, False, True, True, False, True, True, False, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, False, True, False, True, False, True, False, True, True, True, True, True, True, True, True, False, True, False, False, False, True, False, True, True, True, True, False, False, True, False, False, False, True, False, False, False, False, False, True, False, True, True, True, True, False, True]",429,10000175,538.39795160293582
"[False, False, False, True, True, False, False, True, True, False, True, False, False, True, False, True, False, True, False, False, False, True, True, True, True, True, False, False, True, True, True, True, True, False, False, True, True, False, True, True, False, False, True, False, False, True, False, False, True, True, True, False, True, True, False, False, True, True, True, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, True, False, True, False, False, False, True, False, False, True, False, True, True, True, False, False, False, False, False, False, False, True, True, False, True, True]",429,10000015,538.87596893310553
"[False, False, False, True, True, False, False, True, False, True, True, False, False, True, True, True, False, True, True, True, False, True, True, False, False, True, False, False, True, False, True, True, True, False, False, True, True, False, True, True, True, False, True, True, True, True, False, False, True, True, True, False, False, False, True, False, True, True, True, True, False, False, False, False, False, False, True, True, True, False, True, True, False, True, True, False, True, False, True, False, True, False, True, False, False, True, True, True, False, False, False, False, False, False, False, True, True, False, False, True]",428,10000119,539.06356072425844
"[False, False, False, True, True, False, True, True, True, True, True, False, False, True, False, True, False, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, True, False, False, True, False, True, True, True, True, False, True, True, True, True, False, False, True, True, True, True, True, False, True, True, False, True, True, True, False, True, True, False, True, True, False, True, True, False, True, False, False, True, True, False, True, False, True, True, False, False, True, False, False, False, True, False, False, False, False, False, True, False, True, True, True, True, False, True]",429,10000054,539.29113841056825
"[False, True, False, True, True, False, False, True, True, True, True, False, False, True, False, True, False, True, True, True, False, True, True, False, False, True, False, False, True, True, False, False, False, True, False, True, True, False, True, True, True, False, True, False, True, True, False, False, True, True, True, False, False, True, True, True, True, True, True, True, False, True, False, True, False, True, True, True, True, False, True, True, False, True, True, False, True, False, True, True, True, False, False, True, True, True, False, True, False, False, False, False, False, False, False, True, True, False, True, False]",429,10000488,538.73113441467296
"[False, False, False, True, True, False, False, True, False, False, True, False, False, False, False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True, False, False, True, False, False, True, True, True, False, False, False, True, True, False, False, True, False, True, False, False, True, True, True, False, False, False, False, False, False, False, True, True, False, True, True, False, True, True, True, True, False, False, True, True, False, False, True, False, True, True, True, False, False, False, False, False, False, False, True, True, False, True, True]",429,10000245,539.12966632843027
"[False, False, False, True, True, False, False, True, True, True, True, False, False, True, False, True, False, True, False, True, False, False, False, True, True, True, False, False, True, True, False, True, True, False, False, True, True, False, True, True, True, False, True, False, True, True, False, False, True, True, True, False, True, True, False, False, False, True, True, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, False, False, True, False, True, True, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, True, True, False, True, False]",429,10000020,537.72890925407418
"[False, True, True, True, True, False, False, True, True, True, True, False, False, True, False, True, False, True, True, True, False, True, True, False, True, True, False, False, True, True, False, True, True, False, False, True, True, False, True, True, True, False, True, False, True, True, False, False, True, True, False, False, True, True, True, False, True, True, True, True, False, False, False, True, False, False, True, True, True, False, True, True, False, True, True, False, True, False, True, False, True, False, True, True, True, True, True, True, False, False, False, False, False, False, False, True, True, False, False, False]",429,10000242,531.5998880863199
"[False, False, False, True, True, False, False, True, False, False, True, False, False, False, False, True, False, True, True, False, False, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True, False, False, True, False, True, True, True, False, False, False, False, True, True, False, False, True, False, True, False, False, True, True, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, False, True, False, False, False, False, True, False, False, True, False, True, True, True, False, False, True, False, False, False, True, True, True, False, True, False]",429,10000260,530.00501871109010
"[True, False, False, False, True, False, True, False, True, True, True, False, True, True, True, False, False, False, False, True, True, False, False, True, True, False, False, True, True, False, False, True, True, False, True, True, False, True, True, True, False, False, True, True, False, True, True, False, True, True, True, True, True, False, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, False, True, True, False, True, False, True, True, False, False, True, True, False, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True]",428,10000071,528.7737588882446
