Solution, Clauses Satisfied,Function Evaluations,Time (seconds)
"[True, False, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, False, False, True, False, False, False, True, True, False, True, True, False, True, True, False, True, True, True, True, False, True, True, False, False, False, False, True, True, True, True, False, True, False, False, True, False, False, True, False, False, True, False, True, False, False, True, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, False, False, True, False, True, False, True, True, True, False, True, False, False, False, False, False, False, False, True, True, False, False, False, True, False, False, False, False, True, False, False, False, False, True, False, True, False, False, True, False, False, False, True, True, True, True, True, False, True, True, False, True, True, True, False, True, False, True, True, False, True, False, False, True, False, True, False, False, True, True, True, True, True, True, False, False, False, True, True, False, True, True, True, False, True, False, True, True, True, False, True, True, True, False, True, False, True, True, False, False, True, True, True, False, True, True, False, True, True, False, True, False, True, False, True, True, False, True, True, True, True, False, False, True, True, True, False, True, False, False, True, False, True, False, True, False, False, False, False, False, True, True, False, False, True, False, False, False, True, False, False, True, True, True, False, False, True, True, True, True, False, True, True, True, False, False, False, True, False]",1056,10000479,1324.7952573299408
"[False, False, False, False, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, True, True, False, False, False, True, False, True, True, True, False, True, True, False, False, False, True, True, False, True, False, False, False, True, False, True, False, True, True, False, False, True, True, True, True, True, True, True, False, True, False, True, False, False, True, True, True, False, True, False, False, True, True, True, True, True, True, False, False, True, True, False, True, True, True, False, True, False, True, False, True, True, False, False, False, False, True, False, True, False, True, True, True, True, True, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, True, True, False, False, True, False, True, True, True, True, False, True, True, True, False, False, True, False, False, True, True, False, True, False, True, True, True, False, False, False, True, True, True, False, True, False, True, True, True, True, False, False, False, True, False, False, True, True, True, False, True, True, True, False, True, True, True, True, False, True, False, True, False, True, False, True, True, False, True, True, True, True, False, True, False, False, True, False, False, False, True, True, False, True, False, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, False, True, False, False, True, True, True, False, False, True, False, False, False, True, True, True, True, True, True, False, False, True, True, False, False]",1055,10000719,1313.5362088680267
"[False, False, False, True, False, True, True, False, True, True, True, False, False, True, True, True, True, False, True, False, True, False, False, False, False, True, True, True, True, False, True, True, False, False, False, True, True, False, True, True, False, True, True, False, False, True, True, False, False, True, True, True, True, False, True, True, False, False, True, False, False, False, False, True, False, True, False, False, False, False, True, False, True, True, False, False, False, True, True, True, True, True, False, True, False, False, False, True, True, False, True, False, False, True, False, True, False, False, False, True, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, False, False, False, False, True, False, True, True, True, False, False, False, True, False, False, True, True, True, False, True, True, True, False, False, False, False, True, True, True, True, False, False, True, True, True, False, False, True, False, True, False, False, True, True, False, False, False, True, False, False, True, True, False, True, True, True, True, False, True, False, False, False, False, True, True, True, False, False, False, True, True, False, False, True, True, True, False, False, True, True, False, True, False, True, False, False, False, False, True, True, False, False, False, False, True, True, True, False, True, True, True, True, True, False, True, False, False, True, False, True, True, False, True, True, False, False, False, False, False, True, True, True, False, True, False, False, True, False, False, False, True, False, False]",1059,10000379,1317.613698720932
"[False, False, True, True, True, False, True, False, True, False, True, False, False, True, True, True, True, False, False, False, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, False, False, True, False, True, False, True, False, True, True, True, True, False, False, True, True, True, False, True, False, True, False, True, False, False, False, True, True, False, False, True, False, False, True, True, False, True, True, False, True, False, False, False, True, True, True, False, False, False, False, False, True, True, True, False, True, False, False, False, False, False, False, False, True, True, False, True, False, True, True, False, False, True, True, False, True, False, False, False, True, False, True, True, True, True, False, False, True, False, True, False, False, False, True, False, False, True, False, True, False, True, False, True, False, False, False, False, True, True, True, True, True, False, True, True, False, True, False, True, False, True, False, True, True, False, True, True, True, True, False, True, True, True, True, False, True, False, True, True, False, False, False, True, True, True, True, True, False, False, True, True, False, False, True, False, False, False, True, False, False, True, False, True, True, False, True, False, False, False, True, True, False, True, False, True, True, False, True, False, True, False, False, True, True, False, True, True, False, True, True, True, False, False, True, True, False, True, True, True, True, True, False, True, True, False, False, False, False, False, False, False, True, True, False]",1056,10000638,1333.6827211380005
"[True, False, True, True, True, False, True, False, True, True, True, False, False, True, True, True, False, False, True, False, False, False, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, True, False, False, True, False, False, False, True, True, False, False, False, True, False, False, False, True, False, False, False, False, True, True, True, False, True, False, True, True, True, False, False, True, False, True, False, False, True, False, True, True, True, False, False, False, True, False, True, True, False, False, False, True, True, True, False, False, False, True, False, True, False, False, True, False, False, False, True, False, False, False, False, False, True, False, True, True, True, False, False, True, False, False, True, False, False, True, True, True, True, False, True, True, True, True, True, True, False, True, False, False, True, True, True, True, False, False, False, False, True, True, False, False, True, True, True, False, True, True, True, False, False, False, True, False, False, True, True, True, True, True, True, False, True, False, False, True, False, True, False, True, False, False, False, False, False, True, True, True, False, False, False, True, False, False, True, False, True, True, True, False, True, False, True, True, False, True, True, False, False, False, True, False, True, False, False, False, False, False, True, False, False, True, True, True, True, False, False, False, False, True, True]",1055,10000103,1318.8906371593475
"[False, False, True, True, True, True, True, False, True, True, True, False, False, False, False, True, True, False, False, False, True, True, False, False, False, True, True, True, False, False, True, True, False, False, True, True, True, True, True, True, False, True, False, False, True, True, True, True, False, False, True, True, True, True, False, True, True, False, True, False, False, False, False, True, True, False, True, False, False, True, True, False, False, True, False, False, False, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, False, True, False, False, False, True, False, False, True, True, False, False, True, False, True, False, True, False, True, False, False, True, True, False, False, True, False, True, False, True, True, True, False, False, False, False, False, True, False, True, True, False, True, True, True, False, False, True, False, False, True, True, True, True, False, True, True, False, False, False, True, False, True, False, False, True, True, True, True, False, True, False, False, True, True, False, True, True, True, True, False, True, False, True, True, True, True, False, True, True, False, True, True, True, True, False, False, True, True, False, False, False, True, False, True, False, False, False, True, False, False, True, False, False, False, True, True, False, True, True, False, True, False, False, True, True, False, True, True, False, True, False, False, False, False, True, True, False, False, False, False, False, True, True, True, False, True, True, True, False, False, False, False, True, False, False]",1056,10000419,1315.0527715682983
"[True, False, False, True, False, True, True, False, True, False, True, True, False, False, True, True, True, True, False, False, True, False, False, False, True, True, True, True, False, True, True, True, False, False, True, True, True, False, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, False, False, False, True, False, True, False, True, False, False, False, False, True, False, False, True, False, True, True, True, True, False, True, False, True, True, True, False, False, False, False, False, True, True, True, True, False, False, True, False, False, False, False, False, True, False, True, False, True, False, True, True, True, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, True, True, True, False, False, False, True, True, False, True, False, True, True, True, False, True, True, False, True, False, True, False, True, True, False, True, True, True, True, False, True, True, True, False, False, False, False, True, True, True, False, True, True, True, True, True, False, False, True, False, False, False, True, False, False, False, False, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, True, False, True, True, True, False, False, True, True, True, True, False, True, False, True, True, False, True, False, True, True, False, True, True, False, True, True, False, True, False, True, False, False, True, True, False, False, False, True, True, False, True, False, False, True, False, False, False, True, False, False, False, False, False]",1055,10001168,1323.2091205120087
"[False, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, False, True, True, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, False, False, True, True, True, False, True, False, True, True, False, True, False, True, False, True, False, True, False, True, False, False, True, False, True, False, True, True, False, False, True, False, False, False, False, False, False, False, False, True, False, False, True, False, True, True, True, True, False, False, True, True, True, False, True, True, False, True, False, False, False, True, False, True, False, False, False, True, False, True, False, False, False, True, False, False, True, False, True, False, True, True, True, False, False, False, True, False, False, False, True, True, True, True, False, True, False, False, False, False, True, True, True, True, False, False, False, True, True, True, False, True, True, False, False, True, True, True, False, True, True, True, False, False, True, True, False, False, True, True, True, True, True, False, False, False, True, False, False, True, False, False, True, True, True, False, True, True, False, False, False, False, True, True, False, True, True, False, True, True, False, False, True, True, False, False, False, True, True, True, True, False, True, False, False, True, False, False, True, True, False, True, True, False, True, False, True, False, False, False, False, True, False, True, True, True, True, True, True, False, False, False, False, False, True, True, False]",1056,10000294,1322.8477799892426
"[True, False, True, False, True, True, True, False, True, True, True, True, False, True, True, False, False, False, False, True, True, True, False, False, False, False, True, True, True, False, True, True, False, True, False, True, False, False, True, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, False, False, False, True, False, False, True, False, False, False, False, True, True, True, False, True, False, True, False, False, False, True, False, True, False, False, True, False, True, False, True, True, True, True, True, False, False, False, False, False, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, False, False, False, True, True, False, False, True, False, False, False, False, False, True, True, False, False, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, False, False, True, True, False, False, False, False, True, False, True, False, False, False, True, True, False, True, True, True, True, True, True, False, True, False, False, True, True, False, False, False, False, False, True, True, True, True, True, False, True, False, True, True, False, False, False, False, False, True, True, True, True, False, False, False, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, False, False, False, True, False, False, True, False, False, True, False, False, True, False, True, True, False, False, True, False, False, False, True, False, True, True, True, False, False, False, False, False, False, False, False]",1056,10000178,1332.7320907115936
"[False, False, True, False, True, False, True, False, True, False, False, True, False, False, False, True, True, True, True, False, True, False, True, True, True, False, True, True, True, False, False, True, False, True, False, True, True, True, False, True, False, False, False, False, True, True, False, False, False, True, False, False, True, False, False, True, True, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, False, True, True, True, True, False, False, True, True, True, False, False, True, True, True, True, True, False, False, False, False, False, False, True, False, False, True, False, True, True, True, False, True, True, True, True, False, True, False, False, False, False, True, False, False, True, False, False, True, True, True, True, True, True, False, True, True, False, True, True, True, False, True, True, True, True, False, False, False, False, True, False, True, False, False, True, True, False, True, True, True, False, True, True, False, True, False, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, True, True, False, False, True, True, True, False, False, True, True, False, True, True, True, True, True, True, False, False, True, False, True, True, False, True, False, False, False, True, True, True, True, False, True, True, True, False, True, True, True, False, True, False, True, False, True, False, False, False, False, False, False, True, True, True, False, False, True, False, False, True, True, True, False, True, True, False, True, False, False, False, False, False]",1057,10000801,1340.9441721439362
